,ID,Sp_name,Sci_name,Group,ISSCAAP,Country,Fishing_area,AQ_median,AQ_q25,AQ_q75,AQ_medianNOW,AQ_q25NOW,AQ_q75NOW,Net_Median,Net_q25,Net_q75,Larval_M,Adult_M,CAPSUM_tonnes,AQSUM_tonnes,Positive,Percent_spared
45,"Caranx hippos_Congo, Dem. Rep. of the_Atlantic, Eastern Central",Crevalle jack,Caranx hippos,finfish,Miscellaneous pelagic fishes,"Congo, Dem. Rep. of the","Atlantic, Eastern Central",23.6,20.6,27.5,117.98,117.98,117.98,94.38,90.48,97.38,0.86,0.66,347,0,1,0.27
46,"Caranx hippos_Ghana_Atlantic, Eastern Central",Crevalle jack,Caranx hippos,finfish,Miscellaneous pelagic fishes,Ghana,"Atlantic, Eastern Central",1038.7,908.9,1211.8,5193.5,5193.5,5193.5,4154.8,3981.7,4284.6,0.86,0.66,15275,0,1,0.27
47,"Caranx hippos_Russian Federation_Atlantic, Eastern Central",Crevalle jack,Caranx hippos,finfish,Miscellaneous pelagic fishes,Russian Federation,"Atlantic, Eastern Central",7.7,6.7,9,38.42,38.42,38.42,30.72,29.42,31.72,0.86,0.66,113,0,1,0.27
48,"Caranx hippos_Sao Tome and Principe_Atlantic, Eastern Central",Crevalle jack,Caranx hippos,finfish,Miscellaneous pelagic fishes,Sao Tome and Principe,"Atlantic, Eastern Central",0.5,0.4,0.5,2.38,2.38,2.38,1.88,1.88,1.98,0.86,0.66,7,0,1,0.27
49,"Caranx hippos_Senegal_Atlantic, Eastern Central",Crevalle jack,Caranx hippos,finfish,Miscellaneous pelagic fishes,Senegal,"Atlantic, Eastern Central",30,26.2,35,149.94,149.94,149.94,119.94,114.94,123.74,0.86,0.66,441,0,1,0.27
50,"Caranx hippos_Togo_Atlantic, Eastern Central",Crevalle jack,Caranx hippos,finfish,Miscellaneous pelagic fishes,Togo,"Atlantic, Eastern Central",81.8,71.6,95.4,409.02,409.02,409.02,327.22,313.62,337.42,0.86,0.66,1203,0,1,0.27
51,"Caranx hippos_United States of America_Atlantic, Northwest",Crevalle jack,Caranx hippos,finfish,Miscellaneous pelagic fishes,United States of America,"Atlantic, Northwest",0.2,0.2,0.2,1.02,1.02,1.02,0.82,0.82,0.82,0.86,0.66,3,0,1,0.27
52,"Caranx hippos_United States of America_Atlantic, Western Central",Crevalle jack,Caranx hippos,finfish,Miscellaneous pelagic fishes,United States of America,"Atlantic, Western Central",21.4,18.7,24.9,106.76,106.76,106.76,85.36,81.86,88.06,0.86,0.66,314,0,1,0.27
53,"Caranx hippos_Venezuela, Boliv Rep of_Atlantic, Western Central",Crevalle jack,Caranx hippos,finfish,Miscellaneous pelagic fishes,"Venezuela, Boliv Rep of","Atlantic, Western Central",165.4,144.8,193,827.22,827.22,827.22,661.82,634.22,682.42,0.86,0.66,2433,0,1,0.27
54,"Caranx ignobilis_Iran (Islamic Rep. of)_Indian Ocean, Western",Giant trevally,Caranx ignobilis,finfish,Miscellaneous pelagic fishes,Iran (Islamic Rep. of),"Indian Ocean, Western",7492.8,6556.3,8741.6,12488.04,12488.04,12488.04,4995.24,3746.44,5931.74,0.58,0.38,20142,0,1,0.25
55,"Caranx ignobilis_Qatar_Indian Ocean, Western",Giant trevally,Caranx ignobilis,finfish,Miscellaneous pelagic fishes,Qatar,"Indian Ocean, Western",144,126,168,239.94,239.94,239.94,95.94,71.94,113.94,0.58,0.38,387,0,1,0.25
56,"Caranx ignobilis_Saudi Arabia_Indian Ocean, Western",Giant trevally,Caranx ignobilis,finfish,Miscellaneous pelagic fishes,Saudi Arabia,"Indian Ocean, Western",25.7,22.4,29.9,42.78,42.78,42.78,17.08,12.88,20.38,0.58,0.38,69,0,1,0.25
57,"Caranx sexfasciatus_Saudi Arabia_Indian Ocean, Western",Bigeye trevally,Caranx sexfasciatus,finfish,Miscellaneous pelagic fishes,Saudi Arabia,"Indian Ocean, Western",21.6,18.9,25.2,62.92,62.92,62.92,41.32,37.72,44.02,0.76,0.56,143,0,1,0.29
58,"Centropomus undecimalis_Mexico_Atlantic, Western Central",Common snook,Centropomus undecimalis,finfish,Miscellaneous coastal fishes,Mexico,"Atlantic, Western Central",76.1,66.5,88.7,156.6,156.6,156.6,80.5,67.9,90.1,0.66,0.46,290,0,1,0.28
