,Sp_name,Sci_name,Group,ISSCAAP,Country,Fishing_area,AQ_median,AQ_q25,AQ_q75,AQ_medianNOW,AQ_q25NOW,AQ_q75NOW,Net_Median,Net_q25,Net_q75,Larval_M,Adult_M,CAPSUM_tonnes,AQSUM_tonnes,Positive,Percent_spared
102,White seabream,Diplodus sargus,finfish,Miscellaneous coastal fishes,Spain,Mediterranean and Black Sea,93,81.3,108.5,100.1,100.1,100.1,7.1,-8.4,18.8,0.55,0.35,154,0,1,0.05
103,White seabream,Diplodus sargus,finfish,Miscellaneous coastal fishes,Syrian Arab Republic,Mediterranean and Black Sea,36.2,31.7,42.2,39,39,39,2.8,-3.2,7.3,0.55,0.35,60,0,1,0.05
104,White seabream,Diplodus sargus,finfish,Miscellaneous coastal fishes,Tunisia,Mediterranean and Black Sea,334.4,292.6,390.1,360.1,360.1,360.1,25.7,-30,67.5,0.55,0.35,554,0,1,0.05
105,Common two-banded seabream,Diplodus vulgaris,finfish,Miscellaneous coastal fishes,Croatia,Mediterranean and Black Sea,8.8,7.6,10.2,10.2,10.2,10.2,1.4,0,2.6,0.6,0.4,17,0,1,0.08
106,Common two-banded seabream,Diplodus vulgaris,finfish,Miscellaneous coastal fishes,Cyprus,Mediterranean and Black Sea,1,0.9,1.2,1.2,1.2,1.2,0.2,0,0.3,0.6,0.4,2,0,1,0.1
107,Common two-banded seabream,Diplodus vulgaris,finfish,Miscellaneous coastal fishes,France,Mediterranean and Black Sea,1.6,1.4,1.8,1.8,1.8,1.8,0.2,-2.22E-16,0.4,0.6,0.4,3,0,1,0.07
108,Common two-banded seabream,Diplodus vulgaris,finfish,Miscellaneous coastal fishes,Israel,Mediterranean and Black Sea,36,31.5,42,42,42,42,6,0,10.5,0.6,0.4,70,0,1,0.09
109,Common two-banded seabream,Diplodus vulgaris,finfish,Miscellaneous coastal fishes,Italy,Mediterranean and Black Sea,93.6,81.9,109.2,109.2,109.2,109.2,15.6,0,27.3,0.6,0.4,182,0,1,0.09
110,Common two-banded seabream,Diplodus vulgaris,finfish,Miscellaneous coastal fishes,Malta,Mediterranean and Black Sea,0.5,0.4,0.6,0.6,0.6,0.6,0.1,0,0.2,0.6,0.4,1,0,1,0.1
111,Common two-banded seabream,Diplodus vulgaris,finfish,Miscellaneous coastal fishes,Portugal,"Atlantic, Northeast",189.2,165.6,220.8,220.8,220.8,220.8,31.6,-2.84E-14,55.2,0.6,0.4,368,0,1,0.09
112,Common two-banded seabream,Diplodus vulgaris,finfish,Miscellaneous coastal fishes,Spain,"Atlantic, Northeast",47.8,41.8,55.8,55.8,55.8,55.8,8,0,14,0.6,0.4,93,0,1,0.09
